Movie_Title,Date,Daily,Theaters,Rank
Jurassic World (2015),2015/6/12,81953950,4274,1
Jurassic World (2015),2015/6/13,69644830,4274,1
Jurassic World (2015),2015/6/14,57207490,4274,1
Jurassic World (2015),2015/6/15,25344820,4274,1
Jurassic World (2015),2015/6/16,24342515,4274,1
Jurassic World (2015),2015/6/17,19895470,4274,1
Jurassic World (2015),2015/6/18,17822580,4274,1
Jurassic World (2015),2015/6/19,29114435,4291,2
Jurassic World (2015),2015/6/20,39112435,4291,1
Jurassic World (2015),2015/6/21,38361540,4291,1
Jurassic World (2015),2015/6/22,11566225,4291,1
Jurassic World (2015),2015/6/23,13130460,4291,1
Jurassic World (2015),2015/6/24,9440200,4291,1
Jurassic World (2015),2015/6/25,8903825,4291,2
Jurassic World (2015),2015/6/26,14692885,4198,2
Jurassic World (2015),2015/6/27,22480290,4198,1
Jurassic World (2015),2015/6/28,17359440,4198,1
Jurassic World (2015),2015/6/29,6526380,4198,2
Jurassic World (2015),2015/6/30,7474355,4198,2
Jurassic World (2015),2015/7/1,5988150,3802,4
Jurassic World (2015),2015/7/2,6938650,3802,2
Jurassic World (2015),2015/7/3,11827605,3737,2
Jurassic World (2015),2015/7/4,8539045,3737,1
Jurassic World (2015),2015/7/5,8875375,3737,2
Jurassic World (2015),2015/7/6,4149050,3737,2
Jurassic World (2015),2015/7/7,4839415,3737,2
Jurassic World (2015),2015/7/8,3755685,3737,2
Jurassic World (2015),2015/7/9,3251190,3737,2
Jurassic World (2015),2015/7/10,5419575,3441,3
Jurassic World (2015),2015/7/11,7432560,3441,2
Jurassic World (2015),2015/7/12,5299140,3441,2
Jurassic World (2015),2015/7/13,2150625,3441,3
Jurassic World (2015),2015/7/14,2787210,3441,3
Jurassic World (2015),2015/7/15,2202240,3441,3
Jurassic World (2015),2015/7/16,1944165,3441,3
Jurassic World (2015),2015/7/17,3257265,3117,5
Jurassic World (2015),2015/7/18,4909275,3117,4
Jurassic World (2015),2015/7/19,3288435,3117,5
Jurassic World (2015),2015/7/20,1372505,3117,5
Jurassic World (2015),2015/7/21,1729935,3117,5
Jurassic World (2015),2015/7/22,1309140,3117,5
Jurassic World (2015),2015/7/23,1262385,3117,5
Jurassic World (2015),2015/7/24,2063100,2645,8
Jurassic World (2015),2015/7/25,2975625,2645,7
Jurassic World (2015),2015/7/26,2142450,2645,8
Jurassic World (2015),2015/7/27,925750,2645,8
Jurassic World (2015),2015/7/28,1084450,2645,8
Jurassic World (2015),2015/7/29,826350,2645,9
Jurassic World (2015),2015/7/30,779130,2645,9
Jurassic World (2015),2015/7/31,1070720,1912,10
Jurassic World (2015),2015/8/1,1616560,1912,10
Jurassic World (2015),2015/8/2,1214120,1912,10
Jurassic World (2015),2015/8/3,592720,1912,10
Jurassic World (2015),2015/8/4,640520,1912,11
Jurassic World (2015),2015/8/5,484500,1912,12
Jurassic World (2015),2015/8/6,408010,1912,12
Jurassic World (2015),2015/8/7,553905,1119,13
Jurassic World (2015),2015/8/8,833655,1119,14
Jurassic World (2015),2015/8/9,559500,1119,13
Jurassic World (2015),2015/8/10,262965,1119,15
Jurassic World (2015),2015/8/11,335700,1119,14
Jurassic World (2015),2015/8/12,240585,1119,14
Jurassic World (2015),2015/8/13,218550,1119,13
Jurassic World (2015),2015/8/14,335790,738,15
Jurassic World (2015),2015/8/15,546120,738,15
Jurassic World (2015),2015/8/16,357930,738,15
Jurassic World (2015),2015/8/17,155025,738,15
Jurassic World (2015),2015/8/18,195785,738,15
Jurassic World (2015),2015/8/19,151280,738,15
Jurassic World (2015),2015/8/20,147410,738,15
Jurassic World (2015),2015/8/21,267010,574,18
Jurassic World (2015),2015/8/22,419210,574,18
Jurassic World (2015),2015/8/23,261330,574,18
Jurassic World (2015),2015/8/24,94795,574,18
Jurassic World (2015),2015/8/25,115025,574,18
Jurassic World (2015),2015/8/26,94450,574,19
Jurassic World (2015),2015/8/27,94985,574,19
Jurassic World (2015),2015/8/28,792960,1239,10
Jurassic World (2015),2015/8/29,1375290,1239,9
Jurassic World (2015),2015/8/30,842520,1239,10
Jurassic World (2015),2015/8/31,291200,1239,11
Jurassic World (2015),2015/9/1,309825,1239,12
Jurassic World (2015),2015/9/2,259755,1239,11
Jurassic World (2015),2015/9/3,204305,1239,13
Jurassic World (2015),2015/9/4,589125,1571,14
Jurassic World (2015),2015/9/5,1036860,1571,13
Jurassic World (2015),2015/9/6,1068280,1571,13
Jurassic World (2015),2015/9/7,636255,1571,15
Jurassic World (2015),2015/9/8,141895,1571,15
Jurassic World (2015),2015/9/9,110025,1571,15
Jurassic World (2015),2015/9/10,102115,1571,14
Jurassic World (2015),2015/9/11,298096,1169,15
Jurassic World (2015),2015/9/12,596190,1169,16
Jurassic World (2015),2015/9/13,286405,1169,18
Jurassic World (2015),2015/9/14,81830,1169,17
Jurassic World (2015),2015/9/15,94010,1169,17
Jurassic World (2015),2015/9/16,75550,1169,16
Jurassic World (2015),2015/9/17,63760,1169,15
Jurassic World (2015),2015/9/18,173330,753,19
Jurassic World (2015),2015/9/19,312310,753,20
Jurassic World (2015),2015/9/20,150840,753,20
Jurassic World (2015),2015/9/21,45180,753,21
Jurassic World (2015),2015/9/22,52710,753,21
Jurassic World (2015),2015/9/23,52380,753,21
Jurassic World (2015),2015/9/24,41505,753,19
Jurassic World (2015),2015/9/25,110880,347,18
Jurassic World (2015),2015/9/26,196120,347,19
Jurassic World (2015),2015/9/27,83450,347,23
Jurassic World (2015),2015/9/28,22555,347,21
Jurassic World (2015),2015/9/29,27760,347,22
Jurassic World (2015),2015/9/30,25875,347,22
Jurassic World (2015),2015/10/1,20820,347,22
Jurassic World (2015),2015/10/2,81365,254,17
Jurassic World (2015),2015/10/3,139735,254,18
Jurassic World (2015),2015/10/4,71120,254,18
Jurassic World (2015),2015/10/5,20320,254,17
Jurassic World (2015),2015/10/6,22860,254,17
Jurassic World (2015),2015/10/7,21590,254,16
Jurassic World (2015),2015/10/8,20320,254,17
Jurassic World (2015),2015/10/9,59540,213,23
Jurassic World (2015),2015/10/10,95935,213,22
Jurassic World (2015),2015/10/11,56450,213,22
Jurassic World (2015),2015/10/12,28755,213,20
Jurassic World (2015),2015/10/13,18105,213,20
Jurassic World (2015),2015/10/14,18005,213,20
Jurassic World (2015),2015/10/15,25560,213,19
Jurassic World (2015),2015/10/16,60605,202,21
Jurassic World (2015),2015/10/17,102010,202,20
Jurassic World (2015),2015/10/18,61610,202,21
Jurassic World (2015),2015/10/19,17170,202,22
Jurassic World (2015),2015/10/20,21210,202,22
Jurassic World (2015),2015/10/21,18105,202,22
Jurassic World (2015),2015/10/22,19205,202,22
Jurassic World (2015),2015/10/23,52515,175,24
Jurassic World (2015),2015/10/24,90140,175,25
Jurassic World (2015),2015/10/25,51705,175,25
Jurassic World (2015),2015/10/26,14015,175,22
Jurassic World (2015),2015/10/27,15745,175,24
Jurassic World (2015),2015/10/28,13125,175,21
Jurassic World (2015),2015/10/29,14875,175,22
Jurassic World (2015),2015/10/30,33630,164,27
Jurassic World (2015),2015/10/31,43465,164,25
Jurassic World (2015),2015/11/1,41050,164,26
Jurassic World (2015),2015/11/2,11505,164,25
Jurassic World (2015),2015/11/3,14760,164,26
Jurassic World (2015),2015/11/4,10660,164,27
Jurassic World (2015),2015/11/5,11480,164,26
Jurassic World (2015),2015/11/6,29215,139,29
Jurassic World (2015),2015/11/7,55635,139,27
Jurassic World (2015),2015/11/8,31270,139,27
Jurassic World (2015),2015/11/9,6945,139,31
Jurassic World (2015),2015/11/10,10435,139,31
Jurassic World (2015),2015/11/11,20145,139,28
Jurassic World (2015),2015/11/12,8280,139,31
Jurassic World (2015),2015/11/13,18010,109,34
Jurassic World (2015),2015/11/14,37035,109,32
Jurassic World (2015),2015/11/15,22305,109,33
Jurassic World (2015),2015/11/16,4905,109,35
Jurassic World (2015),2015/11/17,6045,109,35
Jurassic World (2015),2015/11/18,4855,109,34
Jurassic World (2015),2015/11/19,4935,109,34
