Day_Since_Release,Daily,Log_Daily,Theaters,Rank
0,81953950,18.221668074316522,4274,1
1,69644830,18.058919041509323,4274,1
2,57207490,17.862195409313774,4274,1
3,25344820,17.048084967326655,4274,1
4,24342515,17.007735009121472,4274,1
5,19895470,16.806002675852955,4274,1
6,17822580,16.695976806780536,4274,1
7,29114435,17.186744691607718,4291,2
8,39112435,17.481951030652407,4291,1
9,38361540,17.46256597922686,4291,1
10,11566225,16.263599857540523,4291,1
11,13130460,16.39044535609674,4291,1
12,9440200,16.060487830267885,4291,1
13,8903825,16.0019916299676,4291,2
14,14692885,16.502873989031276,4198,2
15,22480290,16.928149527745838,4198,1
16,17359440,16.669647066217202,4198,1
17,6526380,15.691363136288436,4198,2
18,7474355,15.826988519683415,4198,2
19,5988150,15.605293241304578,3802,4
20,6938650,15.75261793318521,3802,2
21,11827605,16.285946848611726,3737,2
22,8539045,15.960159849922896,3737,1
23,8875375,15.998791258625515,3737,2
24,4149050,15.23839019135804,3737,2
25,4839415,15.392304610255646,3737,2
26,3755685,15.138781516241636,3737,2
27,3251190,14.994531948713751,3737,2
28,5419575,15.50552814157351,3441,3
29,7432560,15.821381041018826,3441,2
30,5299140,15.483055289915002,3441,2
31,2150625,14.581269520514883,3441,3
32,2787210,14.84055201224562,3441,3
33,2202240,14.60498603623421,3441,3
34,1944165,14.480343651303423,3441,3
35,3257265,14.996398751172231,3117,5
36,4909275,15.406637034723115,3117,4
37,3288435,15.005922629773478,3117,5
38,1372505,14.132148823940966,3117,5
39,1729935,14.363594971570006,3117,5
40,1309140,14.084881754904703,3117,5
41,1262385,14.048514139024926,3117,5
42,2063100,14.539720748683399,2645,8
43,2975625,14.905964994994715,2645,7
44,2142450,14.577461058714125,2645,8
45,925750,13.738360578980513,2645,8
46,1084450,13.896584426116751,2645,8
47,826350,13.624774901709221,2645,9
48,779130,13.565934475028074,2645,9
49,1070720,13.88384281129109,1912,10
50,1616560,14.295811611284702,1912,10
51,1214120,14.009530916145513,1912,10
52,592720,13.29247907822638,1912,10
53,640520,13.370037186666693,1912,11
54,484500,13.090874774294315,1912,12
55,408010,12.919049413807176,1912,12
56,553905,13.224750276242721,1119,13
57,833655,13.633576126227744,1119,14
58,559500,13.234800594042618,1119,13
59,262965,12.479780025236296,1119,15
60,335700,12.723976161813853,1119,14
61,240585,12.390832892966062,1119,14
62,218550,12.294774675892981,1119,13
63,335790,12.724244221598747,738,15
64,546120,13.210595841896403,738,15
65,357930,12.788095509376424,738,15
66,155025,11.951348123769762,738,15
67,195785,12.184777504990015,738,15
68,151280,11.926894313569614,738,15
69,147410,11.900979882818598,738,15
70,267010,12.495045135035625,574,18
71,419210,12.946129652102709,574,18
72,261330,12.473543082053146,574,18
73,94795,11.45948249326009,574,18
74,115025,11.652913468748103,574,18
75,94450,11.4558364604861,574,19
76,94985,11.461484791301832,574,19
77,792960,13.583529319079723,1239,10
78,1375290,14.13417590305463,1239,9
79,842520,13.644153866714035,1239,10
80,291200,12.581769029364706,1239,11
81,309825,12.643766128556365,1239,12
82,259755,12.467498007828475,1239,11
83,204305,12.227374148950089,1239,13
84,589125,13.286395361657224,1571,14
85,1036860,13.851708437725987,1571,13
86,1068280,13.881561372509507,1571,13
87,636255,13.363356277057807,1571,15
88,141895,11.862849673885423,1571,15
89,110025,11.608471980481433,1571,15
90,102115,11.533864700983884,1571,14
91,298096,12.605174215878522,1169,15
92,596190,13.298316364506666,1169,16
93,286405,12.565165663569855,1169,18
94,81830,11.312411423903804,1169,17
95,94010,11.451167075682282,1169,17
96,75550,11.232563203880659,1169,16
97,63760,11.062896997155411,1169,15
98,173330,12.062958340260431,753,19
99,312310,12.651754765193298,753,20
100,150840,11.923981580891553,753,20
101,45180,10.71843192346452,753,21
102,52710,10.87257944140141,753,21
103,52380,10.866299209135672,753,21
104,41505,10.633593274081605,753,19
105,110880,11.616212833142079,347,18
106,196120,12.186487094671199,347,19
107,83450,11.33201491224167,347,23
108,22555,10.023756384927072,347,21
109,27760,10.231387437026681,347,22
110,25875,10.161071177163876,347,22
111,20820,9.943717371755193,347,22
112,81365,11.306712774316,254,17
113,139735,11.847510207108229,254,18
114,71120,11.172137930831342,254,18
115,20320,9.919410113079943,254,17
116,22860,10.03718768092397,254,17
117,21590,9.980031840175913,254,16
118,20320,9.919410113079943,254,17
119,59540,10.994420429860368,213,23
120,95935,11.47143658146227,213,22
121,56450,10.941128284212754,213,22
122,28755,10.266601720103761,213,20
123,18105,9.803998654035386,213,20
124,18005,9.798460314668421,213,20
125,25560,10.148823031356834,213,19
126,60605,11.012149177057239,202,21
127,102010,11.532835929589009,202,20
128,61610,11.028595705008202,202,21
129,17170,9.750977193313803,202,22
130,21210,9.962275194019217,202,22
131,18105,9.803998654035386,202,22
132,19205,9.862978009197917,202,22
133,52515,10.868873164054001,175,24
134,90140,11.409130390037108,175,25
135,51705,10.853329107921365,175,25
136,14015,9.547954813176172,175,22
137,15745,9.664341643744413,175,24
138,13125,9.482350275033667,175,21
139,14875,9.60750445504496,175,22
140,33630,10.423203539647565,164,27
141,43465,10.679734302265647,164,25
142,41050,10.622570475119792,164,26
143,11505,9.350623917423238,164,25
144,14760,9.599743846536997,164,26
145,10660,9.274347501950475,164,27
146,11480,9.34844877409381,164,26
147,29215,10.282471783394694,139,29
148,55635,10.92658575272702,139,27
149,31270,10.350446429473651,139,27
150,6945,8.845921233304018,139,31
151,10435,9.253016646256619,139,31
152,20145,9.910761036502626,139,28
153,8280,9.0217190130337,139,31
154,18010,9.798737961337057,109,34
155,37035,10.519645691567938,109,32
156,22305,10.012610979554482,109,33
157,4905,8.498214224818435,109,35
158,6045,8.707152175339402,109,35
159,4855,8.487970332739334,109,34
160,4935,8.504310565585223,109,34
